FishCode,FishDesc,Consigned,Sold,LowPrice,AvgPrice,HighPrice,MonthNum,YearNum,FishGroup
CADM,Cod | market,,5259,2.06,3.13,4.77,1,2023,Cod
HDDP,Haddock | snapper,,474,0.98,1.68,2.0,1,2023,Haddock
CADS,Cod | scrod,,72,1.21,1.78,2.73,1,2023,Cod
FADS,"Halibut, Atlantic | 10-50",,39,13.01,13.01,13.01,1,2023,Halibut
HDDL,Haddock | large,,12909,1.88,2.32,2.89,1,2023,Haddock
HWSJ,"Hake, white | sow",,3348,1.8,2.52,4.76,1,2023,Hake
HWSM,"Hake, white | medium",,351,1.16,1.43,2.71,1,2023,Hake
PADS,"Pollock, Atl | small",,4794,0.62,0.94,1.31,1,2023,Pollock
PADL,"Pollock, Atl | large",,9648,1.52,1.85,2.32,1,2023,Pollock
PADM,"Pollock, Atl | medium",,14255,1.13,1.47,1.62,1,2023,Pollock
CADL,Cod | large,,2427,2.67,3.83,5.06,1,2023,Cod
HDDS,Haddock | scrod,,28948,1.54,2.08,2.8,1,2023,Haddock
HWSL,"Hake, white | large",,4432,1.64,2.59,3.96,1,2023,Hake
POWX,Redfish | mixed,,618,0.5,0.76,1.22,1,2023,Redfish
HDDL,Haddock | large,,18478,1.54,2.01,2.82,2,2023,Haddock
HWSJ,"Hake, white | sow",,1753,1.24,2.48,4.07,2,2023,Hake
CADM,Cod | market,,3305,1.63,2.3,4.12,2,2023,Cod
HWSS,"Hake, white | small",,7,0.6,0.66,0.8,2,2023,Hake
POWX,Redfish | mixed,,492,0.58,0.67,1.01,2,2023,Redfish
PADL,"Pollock, Atl | large",,3346,1.77,2.41,3.57,2,2023,Pollock
HDDP,Haddock | snapper,,65,1.0,1.06,1.07,2,2023,Haddock
PADM,"Pollock, Atl | medium",,4169,1.29,2.13,3.25,2,2023,Pollock
PADS,"Pollock, Atl | small",,366,0.6,1.11,1.47,2,2023,Pollock
CADL,Cod | large,,1380,2.09,3.59,5.77,2,2023,Cod
HDDS,Haddock | scrod,,23443,1.34,1.65,2.27,2,2023,Haddock
HWSM,"Hake, white | medium",,136,1.06,1.47,2.25,2,2023,Hake
CADS,Cod | scrod,,6,0.9,1.02,1.13,2,2023,Cod
HWSL,"Hake, white | large",,4188,1.1,1.98,3.62,2,2023,Hake
HWSS,"Hake, white | small",,208,0.67,0.7,0.73,3,2023,Hake
POWX,Redfish | mixed,,1449,0.58,0.7,0.88,3,2023,Redfish
FADM,"Halibut, Atlantic | 50-85",,75,13.11,13.11,13.11,3,2023,Halibut
HWSJ,"Hake, white | sow",,5345,0.96,1.15,4.12,3,2023,Hake
HWSM,"Hake, white | medium",,2352,1.0,1.07,1.61,3,2023,Hake
HWSL,"Hake, white | large",,8733,0.97,1.36,2.71,3,2023,Hake
CADM,Cod | market,,16229,1.7,1.91,2.99,3,2023,Cod
PADL,"Pollock, Atl | large",,1400,1.31,2.99,3.82,3,2023,Pollock
CADS,Cod | scrod,,19,1.03,1.17,1.19,3,2023,Cod
FADS,"Halibut, Atlantic | 10-50",,106,12.31,13.06,13.66,3,2023,Halibut
HDDL,Haddock | large,,18158,1.47,1.95,2.25,3,2023,Haddock
HDDP,Haddock | snapper,,193,0.89,0.97,1.04,3,2023,Haddock
HDDS,Haddock | scrod,,29752,1.25,1.51,1.86,3,2023,Haddock
PADM,"Pollock, Atl | medium",,1762,1.38,2.57,3.87,3,2023,Pollock
CADL,Cod | large,,961,2.11,2.81,4.47,3,2023,Cod
PADS,"Pollock, Atl | small",,463,0.97,1.31,1.51,3,2023,Pollock
FYWS,Yellowtail | small,,17,0.8,0.85,0.92,3,2023,Yellowtail
CADL,Cod | large,,788,1.9,3.06,4.62,4,2023,Cod
HDDS,Haddock | scrod,,29835,1.36,1.54,2.39,4,2023,Haddock
HWSL,"Hake, white | large",,3919,1.0,1.41,1.89,4,2023,Hake
POWX,Redfish | mixed,,473,0.62,0.81,1.21,4,2023,Redfish
FADM,"Halibut, Atlantic | 50-85",,78,8.95,8.95,8.95,4,2023,Halibut
PADL,"Pollock, Atl | large",,2284,0.77,2.65,4.07,4,2023,Pollock
PADM,"Pollock, Atl | medium",,3801,1.44,3.02,4.17,4,2023,Pollock
PADS,"Pollock, Atl | small",,1189,0.96,1.9,2.34,4,2023,Pollock
HWSJ,"Hake, white | sow",,2776,1.19,1.38,2.01,4,2023,Hake
HWSM,"Hake, white | medium",,1807,0.82,1.04,1.25,4,2023,Hake
CADS,Cod | scrod,,351,0.99,1.14,1.4,4,2023,Cod
FADS,"Halibut, Atlantic | 10-50",,33,13.11,13.11,13.11,4,2023,Halibut
HWSS,"Hake, white | small",,67,0.5,0.7,0.8,4,2023,Hake
FYWL,Yellowtail | large,,1,0.94,0.94,0.94,4,2023,Yellowtail
HDDL,Haddock | large,,11298,1.69,2.17,2.73,4,2023,Haddock
CADM,Cod | market,,5202,1.5,1.99,2.55,4,2023,Cod
HDDP,Haddock | snapper,,399,0.78,0.99,1.09,4,2023,Haddock
HWSL,"Hake, white | large",,4708,1.35,2.15,2.98,5,2023,Hake
CADS,Cod | scrod,,6,1.55,1.62,1.69,5,2023,Cod
FADS,"Halibut, Atlantic | 10-50",,61,9.0,9.31,9.61,5,2023,Halibut
FYWL,Yellowtail | large,,1,0.98,0.98,0.98,5,2023,Yellowtail
CADL,Cod | large,,220,2.84,3.16,4.57,5,2023,Cod
FADL,"Halibut, Atlantic | 85-125",,117,6.55,6.55,6.55,5,2023,Halibut
HDDP,Haddock | snapper,,119,1.11,1.11,1.12,5,2023,Haddock
HDDS,Haddock | scrod,,3129,2.31,2.51,4.27,5,2023,Haddock
POWX,Redfish | mixed,,143,0.7,0.94,1.13,5,2023,Redfish
HWSM,"Hake, white | medium",,1587,1.12,1.22,2.58,5,2023,Hake
PADM,"Pollock, Atl | medium",,1086,1.22,1.87,2.78,5,2023,Pollock
PADS,"Pollock, Atl | small",,861,0.91,0.98,1.63,5,2023,Pollock
FADM,"Halibut, Atlantic | 50-85",,84,11.11,11.11,11.11,5,2023,Halibut
HWSS,"Hake, white | small",,56,0.53,0.78,1.0,5,2023,Hake
PADL,"Pollock, Atl | large",,262,2.67,2.84,2.93,5,2023,Pollock
CADM,Cod | market,,1140,1.95,2.81,5.47,5,2023,Cod
HDDL,Haddock | large,,2245,2.59,2.99,4.67,5,2023,Haddock
HWSJ,"Hake, white | sow",,1909,1.37,2.44,4.32,5,2023,Hake
FYWL,Yellowtail | large,,318,1.06,1.12,1.29,6,2023,Yellowtail
PADS,"Pollock, Atl | small",,3113,0.89,1.17,2.0,6,2023,Pollock
CADL,Cod | large,,1990,2.36,3.19,4.57,6,2023,Cod
HDDS,Haddock | scrod,,22329,1.62,2.04,2.81,6,2023,Haddock
HWSL,"Hake, white | large",,8687,1.5,1.98,2.67,6,2023,Hake
CADS,Cod | scrod,,31,1.49,1.68,1.7,6,2023,Cod
FADS,"Halibut, Atlantic | 10-50",,236,8.96,10.59,12.06,6,2023,Halibut
HDDL,Haddock | large,,6798,2.1,2.47,3.15,6,2023,Haddock
HDDP,Haddock | snapper,,588,0.9,1.17,1.76,6,2023,Haddock
PADM,"Pollock, Atl | medium",,3930,1.18,2.17,2.96,6,2023,Pollock
CADM,Cod | market,,4542,2.19,2.56,2.75,6,2023,Cod
PADL,"Pollock, Atl | large",,5923,1.6,2.79,3.57,6,2023,Pollock
HWSJ,"Hake, white | sow",,1885,2.09,3.35,4.42,6,2023,Hake
FADM,"Halibut, Atlantic | 50-85",,345,7.5,8.65,10.01,6,2023,Halibut
HWSM,"Hake, white | medium",,1510,0.99,1.32,1.75,6,2023,Hake
FYWS,Yellowtail | small,,200,0.41,0.51,0.62,6,2023,Yellowtail
HWSS,"Hake, white | small",,86,0.7,0.96,1.19,6,2023,Hake
POWX,Redfish | mixed,,652,0.5,1.25,1.67,6,2023,Redfish
CADL,Cod | large,,530,2.51,4.19,5.27,7,2023,Cod
CADM,Cod | market,,1069,2.51,3.21,5.07,7,2023,Cod
HDDL,Haddock | large,,13368,2.25,2.88,4.97,7,2023,Haddock
HDDP,Haddock | snapper,,523,1.39,1.58,1.91,7,2023,Haddock
PADM,"Pollock, Atl | medium",,3137,1.23,3.36,4.52,7,2023,Pollock
FYWL,Yellowtail | large,,91,0.52,0.52,0.52,7,2023,Yellowtail
CADS,Cod | scrod,,15,1.11,1.62,2.21,7,2023,Cod
FADS,"Halibut, Atlantic | 10-50",,297,10.06,10.98,12.06,7,2023,Halibut
HWSS,"Hake, white | small",,219,0.7,0.82,1.1,7,2023,Hake
HWSJ,"Hake, white | sow",,1918,1.66,3.69,5.52,7,2023,Hake
HWSM,"Hake, white | medium",,2131,1.14,1.65,2.74,7,2023,Hake
PADS,"Pollock, Atl | small",,1752,0.96,2.01,2.85,7,2023,Pollock
FADM,"Halibut, Atlantic | 50-85",,256,8.56,10.62,12.21,7,2023,Halibut
PADL,"Pollock, Atl | large",,1782,1.6,3.54,4.77,7,2023,Pollock
HDDS,Haddock | scrod,,14816,2.02,2.63,3.92,7,2023,Haddock
HWSL,"Hake, white | large",,20257,1.28,2.39,3.47,7,2023,Hake
POWX,Redfish | mixed,,2554,0.6,1.29,2.12,7,2023,Redfish
HDDL,Haddock | large,,11092,1.89,2.46,3.82,8,2023,Haddock
HWSJ,"Hake, white | sow",,4086,2.41,3.55,6.12,8,2023,Hake
CADM,Cod | market,,1196,2.08,3.5,5.72,8,2023,Cod
CADS,Cod | scrod,,27,1.69,1.7,1.76,8,2023,Cod
FADS,"Halibut, Atlantic | 10-50",,288,8.41,11.06,14.71,8,2023,Halibut
HWSS,"Hake, white | small",,801,0.4,1.23,1.68,8,2023,Hake
PADL,"Pollock, Atl | large",,1628,1.84,3.39,4.87,8,2023,Pollock
FADM,"Halibut, Atlantic | 50-85",,143,13.26,13.61,14.01,8,2023,Halibut
HWSM,"Hake, white | medium",,5490,0.95,1.89,2.49,8,2023,Hake
PADM,"Pollock, Atl | medium",,2917,1.89,3.03,4.52,8,2023,Pollock
CADL,Cod | large,,745,3.19,4.26,5.67,8,2023,Cod
HDDP,Haddock | snapper,,534,0.79,1.39,1.76,8,2023,Haddock
HDDS,Haddock | scrod,,20984,1.53,2.23,2.97,8,2023,Haddock
POWX,Redfish | mixed,,3662,0.46,0.8,1.66,8,2023,Redfish
FADL,"Halibut, Atlantic | 85-125",,121,7.61,7.61,7.61,8,2023,Halibut
FYWL,Yellowtail | large,,1,0.9,0.9,0.9,8,2023,Yellowtail
HWSL,"Hake, white | large",,25885,1.75,2.42,3.72,8,2023,Hake
PADS,"Pollock, Atl | small",,1840,1.0,1.85,2.23,8,2023,Pollock
PADL,"Pollock, Atl | large",,2472,1.94,3.34,4.02,9,2023,Pollock
FADM,"Halibut, Atlantic | 50-85",,122,6.57,8.18,10.01,9,2023,Halibut
HWSS,"Hake, white | small",,953,0.8,1.44,1.86,9,2023,Hake
POWX,Redfish | mixed,,2303,0.48,0.65,1.01,9,2023,Redfish
HWSJ,"Hake, white | sow",,3521,1.91,3.03,4.72,9,2023,Hake
CADM,Cod | market,,1396,2.01,3.19,5.32,9,2023,Cod
CADS,Cod | scrod,,78,1.49,1.64,1.82,9,2023,Cod
FADS,"Halibut, Atlantic | 10-50",,239,7.0,9.07,10.16,9,2023,Halibut
HDDL,Haddock | large,,7849,1.78,2.45,3.12,9,2023,Haddock
PADM,"Pollock, Atl | medium",,2006,2.25,3.13,3.67,9,2023,Pollock
CADL,Cod | large,,692,2.3,4.5,5.17,9,2023,Cod
FADJ,"Halibut, Atlantic | >125",,134,5.96,5.96,5.96,9,2023,Halibut
HDDS,Haddock | scrod,,18825,1.6,1.99,3.09,9,2023,Haddock
HWSL,"Hake, white | large",,25329,1.5,2.44,3.21,9,2023,Hake
HWSM,"Hake, white | medium",,3968,1.53,1.97,2.34,9,2023,Hake
PADS,"Pollock, Atl | small",,1029,1.01,2.04,2.31,9,2023,Pollock
FADL,"Halibut, Atlantic | 85-125",,103,7.51,7.51,7.51,9,2023,Halibut
HDDP,Haddock | snapper,,357,0.9,1.13,1.33,9,2023,Haddock
POWX,Redfish | mixed,,934,0.5,0.59,0.82,10,2023,Redfish
FADM,"Halibut, Atlantic | 50-85",,123,7.05,8.01,8.95,10,2023,Halibut
HWSL,"Hake, white | large",,22125,1.32,1.5,1.89,10,2023,Hake
PADL,"Pollock, Atl | large",,17510,2.21,2.74,3.67,10,2023,Pollock
HWSJ,"Hake, white | sow",,4092,1.54,1.84,2.52,10,2023,Hake
PADS,"Pollock, Atl | small",,2302,1.32,1.78,2.09,10,2023,Pollock
FADL,"Halibut, Atlantic | 85-125",,325,6.5,7.55,8.56,10,2023,Halibut
HWSM,"Hake, white | medium",,3848,1.01,1.33,1.68,10,2023,Hake
CADS,Cod | scrod,,40,1.03,1.15,1.65,10,2023,Cod
FADS,"Halibut, Atlantic | 10-50",,373,8.0,9.27,10.21,10,2023,Halibut
FYWS,Yellowtail | small,,1,0.8,0.8,0.8,10,2023,Yellowtail
HWSS,"Hake, white | small",,394,0.79,0.9,1.11,10,2023,Hake
FYWL,Yellowtail | large,,16,0.78,1.07,1.19,10,2023,Yellowtail
HDDL,Haddock | large,,8047,1.32,2.0,3.01,10,2023,Haddock
HDDP,Haddock | snapper,,113,0.95,1.25,1.32,10,2023,Haddock
PADM,"Pollock, Atl | medium",,12337,1.99,2.36,3.11,10,2023,Pollock
CADL,Cod | large,,2337,1.51,2.89,4.07,10,2023,Cod
CADM,Cod | market,,3659,1.51,2.32,3.77,10,2023,Cod
HDDS,Haddock | scrod,,15323,1.1,1.73,3.0,10,2023,Haddock
HWSL,"Hake, white | large",,11684,1.28,2.29,3.47,11,2023,Hake
PADS,"Pollock, Atl | small",,639,1.01,1.56,1.97,11,2023,Pollock
HDDP,Haddock | snapper,,2,1.19,1.19,1.19,11,2023,Haddock
HDDS,Haddock | scrod,,10520,1.08,1.58,2.0,11,2023,Haddock
PADM,"Pollock, Atl | medium",,7771,1.62,2.41,3.62,11,2023,Pollock
POWX,Redfish | mixed,,119,0.5,0.74,0.77,11,2023,Redfish
CADL,Cod | large,,1893,2.4,3.04,4.42,11,2023,Cod
FADM,"Halibut, Atlantic | 50-85",,53,8.0,8.0,8.0,11,2023,Halibut
HWSM,"Hake, white | medium",,1438,1.09,1.59,1.99,11,2023,Hake
CADM,Cod | market,,2327,2.02,2.62,4.22,11,2023,Cod
PADL,"Pollock, Atl | large",,12858,1.6,2.88,3.77,11,2023,Pollock
CADS,Cod | scrod,,9,1.53,1.59,1.71,11,2023,Cod
FADS,"Halibut, Atlantic | 10-50",,49,9.0,9.0,9.0,11,2023,Halibut
HDDL,Haddock | large,,5779,1.38,1.97,2.95,11,2023,Haddock
HWSS,"Hake, white | small",,188,0.79,0.86,0.99,11,2023,Hake
HWSJ,"Hake, white | sow",,1928,1.38,2.12,3.52,11,2023,Hake
HDDP,Haddock | snapper,,273,1.25,1.27,1.29,12,2023,Haddock
PADS,"Pollock, Atl | small",,1444,1.5,1.73,2.0,12,2023,Pollock
HWSM,"Hake, white | medium",,1558,1.38,1.82,2.12,12,2023,Hake
CADL,Cod | large,,1312,3.05,3.74,4.62,12,2023,Cod
CADS,Cod | scrod,,41,1.56,1.72,1.94,12,2023,Cod
FADS,"Halibut, Atlantic | 10-50",,27,13.41,13.41,13.41,12,2023,Halibut
HDDS,Haddock | scrod,,23789,1.19,2.02,3.77,12,2023,Haddock
HWSL,"Hake, white | large",,7317,1.5,2.32,3.47,12,2023,Hake
FYWL,Yellowtail | large,,2,0.88,0.88,0.88,12,2023,Yellowtail
PADM,"Pollock, Atl | medium",,18369,1.71,2.15,3.02,12,2023,Pollock
CADM,Cod | market,,3552,2.5,2.98,4.67,12,2023,Cod
HDDL,Haddock | large,,10121,1.71,2.84,4.92,12,2023,Haddock
HWSJ,"Hake, white | sow",,3623,1.53,2.17,3.77,12,2023,Hake
PADL,"Pollock, Atl | large",,17211,2.06,2.5,3.77,12,2023,Pollock
HWSS,"Hake, white | small",,422,0.9,1.24,1.56,12,2023,Hake
POWX,Redfish | mixed,,8269,0.5,0.69,0.87,12,2023,Redfish
CADM,Cod | market,,1923,2.48,3.14,3.67,1,2022,Cod
HDDP,Haddock | snapper,,64,1.1,1.14,1.35,1,2022,Haddock
PADS,"Pollock, Atl | small",,3029,0.87,1.59,2.52,1,2022,Pollock
HDDL,Haddock | large,,3239,1.6,2.18,3.18,1,2022,Haddock
PADM,"Pollock, Atl | medium",,11055,1.41,1.94,4.07,1,2022,Pollock
HWSM,"Hake, white | medium",,1373,1.17,1.25,2.86,1,2022,Hake
CADL,Cod | large,,705,3.13,3.43,4.21,1,2022,Cod
FADM,"Halibut, Atlantic | 50-85",,70,10.51,10.51,10.51,1,2022,Halibut
HDDS,Haddock | scrod,,7484,1.23,1.94,2.95,1,2022,Haddock
HWSL,"Hake, white | large",,2289,1.48,2.21,4.46,1,2022,Hake
POWX,Redfish | mixed,,818,0.78,1.23,1.6,1,2022,Redfish
PADL,"Pollock, Atl | large",,8908,0.77,2.01,3.92,1,2022,Pollock
HWSJ,"Hake, white | sow",,1388,2.28,3.2,5.76,1,2022,Hake
CADS,Cod | scrod,,6,1.93,2.12,2.3,1,2022,Cod
HWSS,"Hake, white | small",,67,0.71,0.71,0.71,1,2022,Hake
HWSM,"Hake, white | medium",,638,1.48,1.52,2.01,2,2022,Hake
PADM,"Pollock, Atl | medium",,5130,1.27,1.79,1.96,2,2022,Pollock
PADS,"Pollock, Atl | small",,940,0.74,1.13,1.74,2,2022,Pollock
HWSL,"Hake, white | large",,2652,1.81,2.16,3.19,2,2022,Hake
CADL,Cod | large,,120,2.68,2.82,3.21,2,2022,Cod
CADM,Cod | market,,534,2.31,2.75,3.52,2,2022,Cod
HDDP,Haddock | snapper,,182,0.98,2.21,2.24,2,2022,Haddock
HDDS,Haddock | scrod,,3617,1.45,2.66,3.42,2,2022,Haddock
HDDL,Haddock | large,,3400,1.75,2.18,2.85,2,2022,Haddock
HWSJ,"Hake, white | sow",,817,2.04,3.11,4.42,2,2022,Hake
PADL,"Pollock, Atl | large",,3672,1.09,1.96,2.33,2,2022,Pollock
POWX,Redfish | mixed,,772,0.56,0.68,1.03,2,2022,Redfish
HWSS,"Hake, white | small",,665,0.9,0.9,0.9,2,2022,Hake
CADL,Cod | large,,629,2.49,2.78,3.67,3,2022,Cod
HDDS,Haddock | scrod,,10545,1.69,2.31,2.49,3,2022,Haddock
CADS,Cod | scrod,,57,1.63,1.63,1.63,3,2022,Cod
FYWS,Yellowtail | small,,3,1.31,1.31,1.31,3,2022,Yellowtail
HDDP,Haddock | snapper,,286,0.94,0.97,1.38,3,2022,Haddock
HWSS,"Hake, white | small",,161,0.74,1.24,1.63,3,2022,Hake
PADM,"Pollock, Atl | medium",,1859,1.71,2.12,3.57,3,2022,Pollock
FYWL,Yellowtail | large,,5,1.75,1.8,1.81,3,2022,Yellowtail
HWSL,"Hake, white | large",,2979,1.73,2.63,3.17,3,2022,Hake
HWSM,"Hake, white | medium",,967,1.41,1.81,2.01,3,2022,Hake
HWSJ,"Hake, white | sow",,1056,2.01,3.22,3.82,3,2022,Hake
PADS,"Pollock, Atl | small",,307,1.31,1.35,1.37,3,2022,Pollock
HDDL,Haddock | large,,3071,2.29,2.64,3.13,3,2022,Haddock
POWX,Redfish | mixed,,342,1.0,1.09,1.1,3,2022,Redfish
CADM,Cod | market,,5286,1.84,2.01,3.09,3,2022,Cod
PADL,"Pollock, Atl | large",,1258,2.19,2.42,3.62,3,2022,Pollock
CADS,Cod | scrod,,4,1.5,1.5,1.5,4,2022,Cod
HWSJ,"Hake, white | sow",,159,3.67,3.67,3.67,4,2022,Hake
PADL,"Pollock, Atl | large",,1075,2.71,2.83,3.0,4,2022,Pollock
HDDS,Haddock | scrod,,887,2.05,2.8,2.97,4,2022,Haddock
HWSL,"Hake, white | large",,226,1.46,3.92,4.07,4,2022,Hake
CADL,Cod | large,,405,2.65,3.71,4.07,4,2022,Cod
CADM,Cod | market,,682,2.0,2.86,3.09,4,2022,Cod
HWSM,"Hake, white | medium",,66,3.26,3.26,3.26,4,2022,Hake
HDDL,Haddock | large,,424,2.9,3.1,3.87,4,2022,Haddock
HDDP,Haddock | snapper,,15,1.2,1.2,1.2,4,2022,Haddock
PADM,"Pollock, Atl | medium",,699,2.48,2.7,3.0,4,2022,Pollock
PADS,"Pollock, Atl | small",,26,1.34,1.34,1.34,4,2022,Pollock
PADL,"Pollock, Atl | large",,230,3.0,3.05,3.62,5,2022,Pollock
HWSS,"Hake, white | small",,76,0.96,1.14,1.19,5,2022,Hake
HDDL,Haddock | large,,95,2.02,2.67,2.8,5,2022,Haddock
HWSJ,"Hake, white | sow",,672,3.16,3.59,4.07,5,2022,Hake
CADL,Cod | large,,20,3.46,3.46,3.46,5,2022,Cod
CADM,Cod | market,,39,2.96,2.96,2.96,5,2022,Cod
HDDS,Haddock | scrod,,210,1.72,2.04,2.07,5,2022,Haddock
HWSL,"Hake, white | large",,1703,2.01,2.67,2.84,5,2022,Hake
PADS,"Pollock, Atl | small",,84,1.49,1.49,1.49,5,2022,Pollock
HWSM,"Hake, white | medium",,542,1.53,2.06,2.26,5,2022,Hake
PADM,"Pollock, Atl | medium",,643,1.8,2.7,2.74,5,2022,Pollock
CADM,Cod | market,,2153,2.7,3.16,3.42,6,2022,Cod
HDDL,Haddock | large,,104,2.16,2.55,3.37,6,2022,Haddock
PADL,"Pollock, Atl | large",,2790,2.19,2.43,2.82,6,2022,Pollock
HWSL,"Hake, white | large",,3576,1.93,2.3,3.02,6,2022,Hake
POWX,Redfish | mixed,,63,0.6,0.62,0.82,6,2022,Redfish
HWSJ,"Hake, white | sow",,321,2.69,3.37,5.47,6,2022,Hake
HWSM,"Hake, white | medium",,128,1.39,1.5,1.99,6,2022,Hake
PADS,"Pollock, Atl | small",,1086,0.99,1.28,1.5,6,2022,Pollock
CADS,Cod | scrod,,11,2.37,2.37,2.37,6,2022,Cod
FADS,"Halibut, Atlantic | 10-50",,41,8.45,8.45,8.45,6,2022,Halibut
HWSS,"Hake, white | small",,1,0.96,0.96,0.96,6,2022,Hake
PADM,"Pollock, Atl | medium",,4912,1.83,1.99,2.24,6,2022,Pollock
CADL,Cod | large,,902,3.0,3.62,5.32,6,2022,Cod
FADM,"Halibut, Atlantic | 50-85",,76,8.51,8.51,8.51,6,2022,Halibut
HDDS,Haddock | scrod,,194,1.84,1.94,2.47,6,2022,Haddock
HDDL,Haddock | large,,5524,1.91,2.38,3.27,7,2022,Haddock
HWSJ,"Hake, white | sow",,2025,2.4,4.24,5.62,7,2022,Hake
PADM,"Pollock, Atl | medium",,7657,1.6,2.63,3.01,7,2022,Pollock
PADS,"Pollock, Atl | small",,3320,0.89,1.36,2.49,7,2022,Pollock
HWSL,"Hake, white | large",,15222,1.99,2.61,3.06,7,2022,Hake
CADL,Cod | large,,687,3.02,4.18,5.12,7,2022,Cod
CADM,Cod | market,,1354,2.49,3.59,5.42,7,2022,Cod
HDDS,Haddock | scrod,,7411,1.8,2.04,3.32,7,2022,Haddock
POWX,Redfish | mixed,,1242,0.58,0.74,1.11,7,2022,Redfish
FADM,"Halibut, Atlantic | 50-85",,195,7.55,8.58,10.86,7,2022,Halibut
PADL,"Pollock, Atl | large",,5411,2.73,3.13,3.47,7,2022,Pollock
FADL,"Halibut, Atlantic | 85-125",,87,8.15,8.15,8.15,7,2022,Halibut
FADS,"Halibut, Atlantic | 10-50",,40,10.21,10.21,10.21,7,2022,Halibut
FYWS,Yellowtail | small,,1,0.97,0.97,0.97,7,2022,Yellowtail
HWSS,"Hake, white | small",,22,1.25,1.25,1.25,7,2022,Hake
CADL,Cod | large,,935,3.5,4.52,5.01,8,2022,Cod
FADM,"Halibut, Atlantic | 50-85",,86,9.0,9.0,9.0,8,2022,Halibut
HWSM,"Hake, white | medium",,5149,1.57,2.05,2.91,8,2022,Hake
HWSL,"Hake, white | large",,26357,2.2,2.9,3.47,8,2022,Hake
PADS,"Pollock, Atl | small",,2188,1.14,2.13,3.02,8,2022,Pollock
CADS,Cod | scrod,,2,2.13,2.13,2.13,8,2022,Cod
FADS,"Halibut, Atlantic | 10-50",,179,8.0,10.11,14.91,8,2022,Halibut
HDDL,Haddock | large,,11669,1.4,2.39,3.67,8,2022,Haddock
HDDP,Haddock | snapper,,166,0.96,1.45,1.84,8,2022,Haddock
HDDS,Haddock | scrod,,19914,1.75,2.5,3.18,8,2022,Haddock
PADM,"Pollock, Atl | medium",,10557,2.13,3.28,3.61,8,2022,Pollock
CADM,Cod | market,,1356,3.14,3.71,4.91,8,2022,Cod
HWSJ,"Hake, white | sow",,4074,2.21,3.78,5.76,8,2022,Hake
HWSS,"Hake, white | small",,626,1.0,1.22,1.45,8,2022,Hake
POWX,Redfish | mixed,,2045,0.52,0.74,1.22,8,2022,Redfish
PADL,"Pollock, Atl | large",,12089,2.21,3.36,3.92,8,2022,Pollock
CADL,Cod | large,,1520,3.67,4.61,5.36,9,2022,Cod
CADS,Cod | scrod,,21,1.99,2.4,2.55,9,2022,Cod
FADS,"Halibut, Atlantic | 10-50",,136,8.9,9.73,10.46,9,2022,Halibut
HDDS,Haddock | scrod,,13191,2.08,2.93,4.02,9,2022,Haddock
FYWL,Yellowtail | large,,2,1.96,1.96,1.96,9,2022,Yellowtail
FYWS,Yellowtail | small,,2,1.9,1.9,1.9,9,2022,Yellowtail
PADM,"Pollock, Atl | medium",,5688,1.5,2.76,3.47,9,2022,Pollock
HDDP,Haddock | snapper,,145,0.97,1.23,1.39,9,2022,Haddock
PADS,"Pollock, Atl | small",,802,1.17,1.46,2.01,9,2022,Pollock
HWSL,"Hake, white | large",,22192,2.35,2.74,3.27,9,2022,Hake
HWSS,"Hake, white | small",,252,1.16,1.32,1.66,9,2022,Hake
POWX,Redfish | mixed,,1264,0.54,0.65,1.24,9,2022,Redfish
HWSJ,"Hake, white | sow",,2835,2.49,3.45,5.07,9,2022,Hake
HWSM,"Hake, white | medium",,3074,1.9,1.96,2.23,9,2022,Hake
HDDL,Haddock | large,,4878,2.76,3.2,4.97,9,2022,Haddock
PADL,"Pollock, Atl | large",,10858,1.99,2.9,3.47,9,2022,Pollock
CADM,Cod | market,,1469,2.89,3.97,5.26,9,2022,Cod
CADS,Cod | scrod,,11,1.89,1.96,1.99,10,2022,Cod
HDDP,Haddock | snapper,,393,0.79,1.14,1.69,10,2022,Haddock
HWSS,"Hake, white | small",,532,0.76,1.12,1.3,10,2022,Hake
PADL,"Pollock, Atl | large",,2314,2.11,2.6,3.0,10,2022,Pollock
CADL,Cod | large,,1838,2.97,4.35,5.07,10,2022,Cod
CADM,Cod | market,,1818,2.52,3.57,4.37,10,2022,Cod
HDDS,Haddock | scrod,,22071,2.01,2.63,3.62,10,2022,Haddock
POWX,Redfish | mixed,,333,0.42,0.71,1.18,10,2022,Redfish
HWSL,"Hake, white | large",,17546,1.79,2.31,3.07,10,2022,Hake
HDDL,Haddock | large,,8671,2.2,2.7,3.92,10,2022,Haddock
HWSJ,"Hake, white | sow",,2019,1.98,3.16,5.06,10,2022,Hake
HWSM,"Hake, white | medium",,6033,1.45,1.79,2.02,10,2022,Hake
PADM,"Pollock, Atl | medium",,6891,1.43,1.81,2.9,10,2022,Pollock
PADS,"Pollock, Atl | small",,976,0.96,1.42,2.21,10,2022,Pollock
FADL,"Halibut, Atlantic | 85-125",,95,12.26,12.26,12.26,11,2022,Halibut
PADL,"Pollock, Atl | large",,6647,1.28,2.25,3.0,11,2022,Pollock
HWSS,"Hake, white | small",,102,0.71,1.39,1.42,11,2022,Hake
POWX,Redfish | mixed,,529,0.4,0.63,0.71,11,2022,Redfish
HWSJ,"Hake, white | sow",,1256,2.27,3.3,4.17,11,2022,Hake
